mark,model,description,fuel,km,year,gearbox,isofix,led,cruise_control,bluetooth,auto_clim,rear_cam,rear_rad,price
TOYOTA,Rav4,Hybride 218ch Dynamic Business 2WD MY20,Hybride /,69 469 km,/ 2020 /,Automatique,0,1,1,1,1,1,1,29 480 €
RENAULT,Megane Estate,1.5 Blue dCi 115ch Business EDC,Diesel /,68 633 km,/ 2021 /,Automatique,1,1,1,1,1,0,1,29 480 €
RENAULT,Captur,1.2 TCe 120ch energy Intens EDC,Essence /,81 206 km,/ 2017 /,Automatique,1,1,1,1,1,0,1,29 480 €
SKODA,Octavia Combi,2.0 TSI 245ch RS DSG7 Euro6d-T,Essence /,86 700 km,/ 2019 /,Automatique,0,1,1,1,1,1,1,29 480 €
RENAULT,Zoe,Zen charge normale R110 Achat Intégral - 20,Electrique /,46 058 km,/ 2020 /,Automatique,1,1,1,1,1,0,0,29 480 €
SUZUKI,Across,2.5 Hybride Rechargeable 306ch Pack,Hybride R /,100 km,/ 2023 /,Automatique,0,1,1,1,1,1,1,29 480 €
FIAT,500,0.9 8v TwinAir 85ch S&S Lounge,Essence /,90 715 km,/ 2017 /,Manuelle,1,0,1,1,0,0,1,9 899 €
CITROEN,Berlingo,M BlueHDi 130ch S&S Shine EAT8,Diesel /,5 600 km,/ 2023 /,Automatique,1,0,1,1,1,0,1,9 899 €
PEUGEOT,2008,1.2 PureTech 110ch Allure S&S,Essence /,30 050 km,/ 2018 /,Manuelle,1,1,1,0,1,0,1,9 899 €
NISSAN,Qashqai,1.3 Mild Hybrid 158ch Acenta Xtronic,Essence M /,44 766 km,/ 2021 /,Automatique,1,1,1,1,1,1,1,9 899 €
TOYOTA,Rav4,Hybride 218ch Lounge 2WD,Hybride /,71 000 km,/ 2019 /,Automatique,0,1,1,1,1,1,1,9 899 €
RENAULT,Captur,1.2 TCe 120ch energy Intens,Essence /,92 301 km,/ 2017 /,Manuelle,1,1,1,1,1,0,1,9 899 €
PEUGEOT,308,1.2 PureTech 130ch E6.3 S&S Tech Edition,Essence /,82 800 km,/ 2020 /,Manuelle,1,0,1,1,1,0,1,9 899 €
CITROEN,C4 X,Moteur électrique 136ch (100 kW) Shine Automatique,Electrique /,12 600 km,/ 2023 /,Automatique,0,0,1,1,1,1,1,9 899 €
RENAULT,Megane,E-Tech Electric EV60 220ch Techno super charge,Electrique /,30 281 km,/ 2022 /,Automatique,0,1,1,1,1,1,1,9 899 €
RENAULT,Clio,1.0 TCe 90ch Techno,Essence /,4 187 km,/ 2023 /,Manuelle,0,1,1,1,1,1,1,9 899 €
LAND-ROVER,Discovery Sport,2.0 D 150ch R-Dynamic SE Mark V,Diesel /,41 113 km,/ 2020 /,Manuelle,0,1,1,1,1,1,1,9 899 €
PEUGEOT,208,1.2 PureTech 75ch S&S Active,Essence /,21 418 km,/ 2020 /,Manuelle,1,0,1,1,0,0,0,9 899 €
BMW,I4,M50 544ch,Electrique /,12 946 km,/ 2022 /,Automatique,1,0,1,1,1,1,1,9 899 €
SEAT,Ibiza,1.0 EcoTSI 95ch Start/Stop Urban,Essence /,53 661 km,/ 2020 /,Manuelle,1,0,1,1,1,0,1,9 899 €
RENAULT,Clio,1.2 TCe 120ch energy Intens EDC 5p,Essence /,19 319 km,/ 2017 /,Automatique,1,1,1,1,1,0,0,9 899 €
MITSUBISHI,Eclipse Cross,2.4 MIVEC PHEV 188ch Intense Design 4WD,Hybride R /,18 343 km,/ 2022 /,Automatique,0,1,1,1,1,1,1,9 899 €
RENAULT,Megane,1.5 Blue dCi 115ch Business -21N,Diesel /,101 703 km,/ 2021 /,Manuelle,1,1,1,1,1,0,1,9 899 €
RENAULT,Clio,1.6 E-Tech 140ch Business -21,Hybride /,46 676 km,/ 2021 /,Automatique,1,1,1,1,0,0,1,9 899 €
CITROEN,C3,1.2 PureTech 83ch S&S C-Series 123g,Essence /,30 100 km,/ 2021 /,Manuelle,0,0,1,1,1,0,1,9 899 €
MERCEDES,Classe E Coupe,220 d 194ch AMG Line 9G-Tronic,Diesel /,7 km,/ 2023 /,Automatique,0,0,1,1,1,1,1,9 899 €
PEUGEOT,3008,1.5 BlueHDi 130ch S&S GT EAT8,Diesel /,20 999 km,/ 2023 /,Automatique,0,1,1,1,1,1,1,9 899 €
PEUGEOT,2008,1.2 PureTech 100ch S&S Allure,Essence /,100 km,/ 2023 /,Manuelle,1,1,1,1,1,0,1,9 899 €
PEUGEOT,3008,1.5 BlueHDi 130ch E6.c Allure S&S EAT8,Diesel /,98 638 km,/ 2019 /,Automatique,1,0,1,1,1,0,1,9 899 €
TOYOTA,Rav4,197 Hybride Lounge AWD CVT,Hybride /,58 317 km,/ 2016 /,Automatique,0,1,1,1,1,1,1,9 899 €
