mark,model,description,fuel,km,year,gearbox,isofix,led,cruise_control,bluetooth,auto_clim,rear_cam,rear_rad,price
DACIA,Duster,1.3 TCe 150ch FAP Journey 4x2 EDC,Essence /,3 500 km,2023 /,Automatique,1,0,1,1,1,1,1,23 876 €
PEUGEOT,208,1.2 PureTech 75ch S&S Active,Essence /,58 km,2023 /,Manuelle,1,0,1,1,0,0,0,23 876 €
FORD,Fiesta,1.0 Flexifuel 95ch ST-Line 5p,Essence B /,3 500 km,2023 /,Manuelle,1,1,1,0,1,0,1,23 876 €
RENAULT,Twingo,1.0 SCe 75ch Zen - 20,Essence /,32 356 km,2020 /,Manuelle,1,0,0,1,0,0,0,23 876 €
CITROEN,C3,1.2 PureTech 110ch S&S Shine Business 121g,Essence /,24 639 km,2021 /,Manuelle,0,0,1,1,1,0,1,23 876 €
PEUGEOT,Expert,M 2.0 BlueHDi 145ch,Diesel /,500 km,2023 /,Manuelle,0,0,1,1,0,0,1,23 876 €
RENAULT,Megane,1.3 TCe 140ch energy Intens,Essence /,89 730 km,2018 /,Manuelle,0,0,1,1,1,1,1,23 876 €
PEUGEOT,208,1.2 PureTech 75ch S&S Active Business,Essence /,10 658 km,2020 /,Manuelle,1,0,1,1,0,0,1,23 876 €
RENAULT,Clio,1.6 E-Tech 145ch full hybrid esprit Alpine,Hybride /,9 900 km,2023 /,Automatique,0,1,1,1,1,1,1,23 876 €
RENAULT,Zoe,Zen charge normale R110,Electrique /,45 814 km,2019 /,Automatique,1,1,1,1,1,0,0,23 876 €
KIA,Ev6,585ch GT 4WD,Electrique /,2 000 km,2024 /,Automatique,0,0,1,1,1,1,1,23 876 €
RENAULT,Kangoo,1.5 dCi 110ch energy Zen Euro6,Diesel /,68 903 km,2017 /,Manuelle,1,0,1,1,0,0,0,23 876 €
DACIA,Sandero,0.9 TCe 90ch Advance Euro6c,Essence /,51 737 km,2018 /,Manuelle,1,0,1,1,1,1,0,23 876 €
BMW,Serie 4 Cabriolet,M440iA xDrive 374ch,Essence M /,10 800 km,2023 /,Automatique,0,0,1,1,1,1,1,23 876 €
PEUGEOT,208,e-208 136ch Allure Pack,Electrique /,2 800 km,2023 /,Automatique,0,1,1,1,1,1,1,23 876 €
PEUGEOT,308 Sw,1.2 PureTech 130ch GT Line S&S,Essence /,90 241 km,2016 /,Manuelle,1,1,1,0,1,0,0,23 876 €
MINI,Cabrio,John Cooper Works 231ch Exclusive Design,Essence /,112 487 km,2017 /,Manuelle,0,1,1,1,1,0,1,23 876 €
PEUGEOT,3008,1.2 PureTech 130ch E6.c Allure S&S EAT8,Essence /,67 502 km,2019 /,Automatique,1,0,1,1,1,0,1,23 876 €
MASERATI,Quattroporte,3.0 V6 430ch Modena,Essence /,50 km,2023 /,Automatique,0,0,1,1,1,1,1,23 876 €
