mark,model,description,fuel,km,year,gearbox,isofix,led,cruise_control,bluetooth,auto_clim,rear_cam,rear_rad,price
RENAULT,Captur,1.3 TCe mild hybrid 140 Techno Gtie 1an,Essence M /,7 500 km,2023 /,Manuelle,0,0,1,1,1,1,1,22 999 €
KIA,Niro,1.6 GDi 105ch ISG + électrique 43.5ch Active Business DCT6 Euro6d-T,Hybride /,70 842 km,2019 /,Automatique,1,0,1,1,1,1,1,22 999 €
PEUGEOT,5008,1.5 BlueHDi 130ch S&S ALLURE BVM,Diesel /,14 772 km,2022 /,Automatique,1,1,1,1,1,1,1,22 999 €
PEUGEOT,208,1.2 PureTech 100ch S&S Allure,Essence /,44 078 km,2020 /,Manuelle,1,0,1,1,1,0,1,22 999 €
DACIA,Duster,1.0 ECO-G 100ch Prestige 4x2 - E6U,Gpl /,49 923 km,2021 /,Manuelle,1,0,1,1,1,1,1,22 999 €
CITROEN,C3,PureTech 110ch Feel S&S,Essence /,100 245 km,2018 /,Manuelle,1,0,1,0,0,0,0,22 999 €
RENAULT,Captur,1.3 TCe mild hybrid 160ch RS Line EDC,Essence M /,14 849 km,2023 /,Automatique,0,1,1,1,1,1,1,22 999 €
VOLKSWAGEN,Tiguan,1.5 TSI 150ch R-Line DSG7,Essence /,15 788 km,2023 /,Automatique,0,1,1,1,1,1,1,22 999 €
TOYOTA,Yaris,116h Design 5p MY21,Hybride /,4 811 km,2020 /,Automatique,1,1,1,1,1,1,0,22 999 €
TOYOTA,C-Hr,122h Edition 2WD E-CVT MY20,Hybride /,51 813 km,2021 /,Automatique,1,0,1,1,1,1,1,22 999 €
CITROEN,C1,VTi 72 S&S Feel 5p E6.d,Essence /,27 512 km,2022 /,Manuelle,1,0,0,1,0,0,0,22 999 €
DACIA,Sandero,1.0 SCe 75ch Urban Stepway - 20,Essence /,56 619 km,2020 /,Manuelle,1,0,0,1,0,0,0,22 999 €
MERCEDES,Gla,250 e 160+102ch AMG Line 8G-DCT,Hybride R /,17 386 km,2023 /,Automatique,0,0,1,1,1,1,1,22 999 €
PEUGEOT,3008,2.0 BlueHDi 180ch S&S Allure Business EAT8,Diesel /,32 849 km,2019 /,Automatique,0,1,1,1,1,0,1,22 999 €
NISSAN,Qashqai,1.3 Mild Hybrid 140ch N-Connecta,Essence M /,36 079 km,2022 /,Manuelle,0,1,1,1,1,1,1,22 999 €
CITROEN,C3 Aircross,PureTech 110ch S&S Feel,Essence /,21 084 km,2022 /,Manuelle,1,1,1,1,0,0,0,22 999 €
PEUGEOT,208,1.5 BlueHDi 100ch S&S Allure,Diesel /,52 140 km,2022 /,Manuelle,1,1,1,1,1,0,1,22 999 €
NISSAN,Qashqai,1.3 Mild Hybrid 140ch N-Connecta,Essence M /,32 350 km,2022 /,Manuelle,0,1,1,1,1,1,1,22 999 €
OPEL,Corsa,1.4 90ch Design 120 ans Start/Stop 3p,Essence /,68 042 km,2019 /,Manuelle,1,0,1,1,0,1,1,22 999 €
SUZUKI,Vitara,1.4 Boosterjet Hybrid 129ch Style,Essence M /,10 km,2024 /,Manuelle,1,1,1,1,1,1,0,22 999 €
RENAULT,Zoe,Business charge normale R110 LOCATION BATTERIE,Electrique /,61 932 km,2020 /,Automatique,1,1,1,1,1,0,0,22 999 €
RENAULT,Zoe,Life charge normale R75,Electrique /,28 435 km,2017 /,Automatique,1,0,1,1,0,0,0,22 999 €
PEUGEOT,2008,1.5 BlueHDi 130ch S&S GT Line EAT8 7cv,Diesel /,156 856 km,2021 /,Automatique,1,1,1,1,1,0,0,22 999 €
PEUGEOT,2008,1.2 PureTech 130ch GT Line S&S,Essence /,51 756 km,2019 /,Manuelle,1,1,1,0,1,0,1,22 999 €
LEXUS,Es,300h Business Plus MY21,Hybride /,66 342 km,2021 /,Automatique,0,1,1,1,1,1,1,22 999 €
PEUGEOT,2008,1.2 PureTech 130ch E6.c Crossway S&S,Essence /,65 938 km,2019 /,Manuelle,0,1,1,0,1,1,1,22 999 €
RENAULT,Clio,1.0 SCe 65ch Evolution,Essence /,11 119 km,2023 /,Manuelle,1,1,1,1,0,0,1,22 999 €
RENAULT,Espace,1.6 TCe 200ch energy Initiale Paris EDC,Essence /,91 223 km,2015 /,Automatique,0,0,1,1,1,1,1,22 999 €
MERCEDES,Classe A,45 S AMG 421ch 4Matic+ 8G-DCT Speedshift AMG,Essence /,5 km,2023 /,Automatique,0,0,1,1,1,1,1,22 999 €
RENAULT,Clio,1.0 TCe 90ch Intens -21N,Essence /,27 674 km,2021 /,Manuelle,1,1,1,1,1,0,1,22 999 €
RENAULT,Clio,1.0 TCe 100ch Intens,Essence /,32 283 km,2020 /,Manuelle,1,1,1,1,1,0,1,14 800 €
MERCEDES,Gla,220 d 190ch AMG Line 8G-DCT 4Matic,Diesel /,9 500 km,2023 /,Automatique,0,1,1,1,1,1,1,14 800 €
DACIA,Spring,Confort Plus - Achat Intégral,Electrique /,3 074 km,2023 /,Automatique,1,0,0,1,0,1,1,14 800 €
PEUGEOT,3008,1.6 BlueHDi 120ch Féline S&S EAT6,Diesel /,102 846 km,2016 /,Automatique,0,0,1,1,1,1,0,14 800 €
RENAULT,Clio,1.3 TCe 140ch Intens -21N,Essence /,32 617 km,2022 /,Manuelle,1,1,1,1,1,0,1,14 800 €
PEUGEOT,2008,1.2 PureTech 82ch Style,Essence /,32 444 km,2018 /,Manuelle,1,1,1,0,0,0,0,14 800 €
RENAULT,Clio,1.3 TCe 140ch RS Line,Essence /,14 331 km,2023 /,Manuelle,0,1,1,1,1,1,1,14 800 €
BMW,Serie 5,530dA xDrive 265ch M Sport Steptronic,Diesel /,91 916 km,2018 /,Automatique,0,0,1,1,1,1,1,14 800 €
PEUGEOT,2008,1.2 PureTech 130ch Allure S&S,Essence /,51 151 km,2019 /,Manuelle,1,1,1,0,1,0,1,14 800 €
RENAULT,Kangoo Van,1.3 TCe 130ch Extra - 22 5cv,Essence /,49 125 km,2022 /,Manuelle,0,0,1,1,0,1,1,14 800 €
MINI,Mini,Cooper 136ch Edition Greenwich,Essence /,59 902 km,2021 /,Manuelle,0,1,1,1,1,0,1,14 800 €
RENAULT,Clio,0.9 TCe 90ch Intens,Essence /,42 172 km,2019 /,Manuelle,1,1,1,1,1,0,0,14 800 €
DACIA,Sandero,0.9 TCe 90ch Stepway - 19,Essence /,46 231 km,2019 /,Manuelle,1,0,1,1,0,0,1,14 800 €
DACIA,Sandero,1.0 SCe 65ch Expression,Essence /,4 342 km,2023 /,Manuelle,1,1,1,1,0,0,1,14 800 €
DACIA,Duster,1.5 Blue dCi 115ch Prestige 4x2,Diesel /,66 312 km,2020 /,Manuelle,1,0,1,1,1,1,1,14 800 €
PEUGEOT,208,1.5 BlueHDi 100ch S&S Active,Diesel /,67 312 km,2022 /,Manuelle,1,0,1,1,0,0,0,14 800 €
FORD,Ecosport,1.5 EcoBlue 95ch Titanium,Diesel /,99 050 km,2020 /,Manuelle,1,0,1,1,1,0,1,14 800 €
MINI,Mini,Cooper 136ch Heddon Street Euro6d-T,Essence /,51 887 km,2019 /,Manuelle,0,0,1,1,1,0,1,14 800 €
NISSAN,Townstar,L1 Tce 130 N-Connecta,Essence /,20 500 km,2022 /,Manuelle,0,1,1,1,0,1,1,14 800 €
RENAULT,Zoe,Intens charge normale R90,Electrique /,74 900 km,2018 /,Automatique,1,0,1,1,1,0,0,14 800 €
