mark,model,description,fuel,km,year,gearbox,isofix,led,cruise_control,bluetooth,auto_clim,rear_cam,rear_rad,price
CITROEN,C3,PureTech 82ch ELLE S&S E6.d-TEMP,Essence /,65 098 km,2019 /,Manuelle,1,0,1,0,1,1,0,10 999 €
MERCEDES,Classe A,200 163ch AMG Line 7G-DCT,Essence M /,8 203 km,2023 /,Automatique,0,0,1,1,1,1,1,10 999 €
PEUGEOT,108,VTi 72 Collection S&S 85g 5p,Essence /,45 558 km,2020 /,Manuelle,1,0,0,1,0,1,0,10 999 €
RENAULT,Twingo,1.0 SCe 65ch Equilibre,Essence /,8 568 km,2023 /,Manuelle,1,0,0,1,1,0,0,10 999 €
RENAULT,Megane,1.3 TCe 140ch FAP Business EDC,Essence /,77 202 km,2020 /,Automatique,1,0,1,1,1,0,1,10 999 €
CITROEN,C3,1.2 PureTech 83ch S&S Feel Business,Essence /,28 427 km,2021 /,Manuelle,0,0,1,1,1,0,1,10 999 €
SUZUKI,Vitara,1.4 Boosterjet Hybrid 129ch Style,Essence M /,26 868 km,2022 /,Manuelle,0,0,1,1,1,1,1,10 999 €
NISSAN,Qashqai,1.3 Mild Hybrid 140ch N-Connecta 2022,Essence M /,35 211 km,2022 /,Manuelle,0,1,1,1,1,1,1,10 999 €
RENAULT,Clio,1.5 Blue dCi 100ch Evolution,Diesel /,51 440 km,2022 /,Manuelle,1,1,1,1,0,0,1,10 999 €
RENAULT,Espace,1.6 dCi 160ch energy Initiale Paris EDC,Diesel /,89 800 km,2016 /,Automatique,0,0,1,1,1,1,1,10 999 €
TOYOTA,Corolla,122h Dynamic Business MY20 + support lombaire 5cv,Hybride /,31 000 km,2021 /,Automatique,0,1,1,1,1,1,1,10 999 €
RENAULT,Kadjar,1.3 TCe 140ch FAP Intens EDC,Essence /,61 891 km,2019 /,Automatique,0,1,1,1,1,1,1,10 999 €
BMW,X3,xDrive30eA 292ch M Sport 10cv,Hybride R /,49 073 km,2020 /,Automatique,1,1,1,1,1,0,1,10 999 €
RENAULT,Clio,1.0 TCe 90ch Techno,Essence /,7 319 km,2023 /,Manuelle,0,1,1,1,1,1,1,10 999 €
MG,Mg5,EV 156ch - 61kWh Luxury,Electrique /,19 900 km,2022 /,Automatique,0,1,1,1,1,1,1,10 999 €
PEUGEOT,208,e-208 136ch Active,Electrique /,98 655 km,2020 /,Automatique,1,0,1,1,1,0,0,10 999 €
VOLKSWAGEN,Polo,1.0 TSI 110ch R-Line DSG7,Essence /,8 000 km,2024 /,Automatique,0,0,1,1,1,1,1,10 999 €
DS,Ds 7 Crossback,E-TENSE 4x4 300ch Performance Line +,Hybride R /,48 404 km,2020 /,Automatique,1,0,0,0,1,1,0,10 999 €
MERCEDES,Glc,300 de 194+122ch Avantgarde Line 4Matic 9G-Tronic,Hybride R /,48 055 km,2022 /,Automatique,0,0,1,1,1,1,1,10 999 €
PEUGEOT,208,1.2 PureTech 100ch S&S Active Pack,Essence /,16 041 km,2021 /,Manuelle,1,0,1,1,0,0,1,10 999 €
RENAULT,Captur,0.9 TCe 90ch energy Intens Euro6c,Essence /,69 466 km,2018 /,Manuelle,1,1,1,1,1,0,1,10 999 €
FIAT,500,e 118ch Icône,Electrique /,32 571 km,2022 /,Automatique,0,0,1,1,1,0,0,10 999 €
