mark,model,description,fuel,km,year,gearbox,isofix,led,cruise_control,bluetooth,auto_clim,rear_cam,rear_rad,price
DACIA,Sandero,1.0 TCe 90ch Stepway Expression,Essence /,9 554 km,2023 /,Manuelle,1,1,1,1,0,0,1,17 490 €
RENAULT,Grand Scenic,1.7 Blue dCi 120ch Zen - 20,Diesel /,76 557 km,2019 /,Manuelle,1,0,1,1,1,0,1,17 490 €
PEUGEOT,2008,1.2 PureTech 130ch S&S Active Business,Essence /,58 385 km,2020 /,Manuelle,1,1,1,1,0,0,1,17 490 €
OPEL,Crossland X,1.2 Turbo 110ch Edition Euro 6d-T,Essence /,51 395 km,2019 /,Manuelle,1,0,1,1,0,0,0,17 490 €
PEUGEOT,308,e-308 156ch GT,Electrique /,3 500 km,2023 /,Automatique,0,1,1,0,1,1,1,17 490 €
AUDI,A6 Avant,40 TDI 204ch S line quattro S tronic 7,Diesel M /,12 000 km,/ 2023 /,Automatique,0,0,1,1,1,1,1,17 490 €
PEUGEOT,208,e-208 136ch Style,Electrique /,13 702 km,/ 2021 /,Automatique,1,1,1,1,1,0,1,17 490 €
NISSAN,Juke,1.0 DIG-T 114ch Enigma DCT 2021,Essence /,58 777 km,/ 2021 /,Automatique,0,1,1,1,1,1,1,17 490 €
BMW,I3,170ch 120Ah Edition WindMill Loft,Electrique /,16 942 km,/ 2021 /,Automatique,0,1,1,1,1,1,1,17 490 €
NISSAN,X-Trail,dCi 150ch Tekna 2020,Diesel /,85 683 km,/ 2021 /,Manuelle,0,0,1,1,1,1,1,17 490 €
VOLKSWAGEN,Touareg,3.0 TSI eHybrid 462ch R 4Motion BVA8,Hybride R /,5 000 km,/ 2023 /,Automatique,0,0,1,0,1,1,1,17 490 €
VOLVO,Xc40,T4 Recharge 129 + 82ch Business DCT 7,Hybride R /,18 816 km,/ 2020 /,Automatique,0,1,1,1,1,1,1,17 490 €
RENAULT,Zoe,Intens R110 MY19,Electrique /,43 691 km,/ 2019 /,Automatique,1,0,1,1,1,0,0,17 490 €
CITROEN,C3,1.2 PureTech 83ch S&S Shine,Essence /,13 703 km,/ 2021 /,Manuelle,0,0,1,1,1,0,1,17 490 €
PEUGEOT,2008,1.2 PureTech 130ch S&S Style,Essence /,34 094 km,/ 2021 /,Manuelle,1,1,1,1,1,0,1,17 490 €
TOYOTA,Yaris Cross,116h Trail MY22,Hybride /,26 792 km,/ 2021 /,Automatique,0,0,1,1,1,1,1,17 490 €
VOLKSWAGEN,Polo,1.0 TSI 110ch Style DSG7,Essence /,6 990 km,/ 2023 /,Automatique,0,1,1,1,1,1,1,17 490 €
TOYOTA,C-Hr,122h Edition 2WD E-CVT RC18,Hybride /,68 237 km,/ 2018 /,Automatique,0,0,1,1,1,1,0,17 490 €
BMW,Serie 8 Gran Coupe,M850iA 530ch xDrive,Essence /,63 864 km,/ 2020 /,Automatique,0,0,1,1,1,1,1,17 490 €
RENAULT,Twingo,1.0 SCe 75ch Zen - 20,Essence /,25 842 km,/ 2020 /,Manuelle,1,0,0,1,0,0,0,17 490 €
PEUGEOT,308,1.6 THP 270ch GTi S&S 5p,Essence /,54 549 km,/ 2016 /,Manuelle,1,1,1,0,1,0,0,17 490 €
RENAULT,Captur,1.6 E-Tech hybride 145ch Evolution,Hybride /,500 km,/ 2023 /,Automatique,1,1,1,1,1,0,1,17 490 €
CITROEN,C4,BlueHDi 110ch S&S Live PACK,Diesel /,48 000 km,/ 2022 /,Manuelle,1,0,1,1,0,0,0,17 490 €
