mark,model,description,fuel,km,year,gearbox,isofix,led,cruise_control,bluetooth,auto_clim,rear_cam,rear_rad,price
BMW,X3,xDrive30eA 292ch M Sport 10cv,Hybride R /,44 529 km,2021 /,Automatique,1,1,1,1,1,0,1,48 999 €
MERCEDES,Vito,114 CDI Compact Pro Propulsion 9G-Tronic,Diesel /,85 157 km,2020 /,Automatique,0,1,1,1,1,1,0,48 999 €
RENAULT,Zoe,E-Tech Business charge normale R110 - 21,Electrique /,10 890 km,2021 /,Automatique,1,1,1,1,1,0,0,48 999 €
RENAULT,Austral,1.2 E-Tech full hybrid 200ch Iconic esprit Alpine,Hybride /,9 500 km,2023 /,Automatique,0,0,1,1,1,1,1,48 999 €
PEUGEOT,2008,1.2 PureTech 130ch S&S Allure EAT8 7cv,Essence /,67 146 km,2020 /,Automatique,1,1,1,1,1,0,0,48 999 €
AUDI,Q3,45 TFSI e 245ch S line S tronic 6,Hybride R /,21 576 km,2022 /,Automatique,0,0,1,1,1,1,1,48 999 €
RENAULT,Zoe,Zen charge normale R90 MY19,Electrique /,45 902 km,2019 /,Automatique,1,0,1,1,1,0,0,48 999 €
PEUGEOT,3008,1.2 PureTech 130ch GT Line S&S,Essence /,86 359 km,2017 /,Manuelle,0,1,1,1,1,0,1,48 999 €
BMW,X1,xDrive23i 218ch xLine,Essence M /,10 000 km,2023 /,Automatique,0,0,1,1,1,1,1,48 999 €
RENAULT,Master,R3500RJ L3 Benne 2.3 dCi 145ch energy Double Cabine Confort EuroVI,Diesel /,61 246 km,2019 /,Manuelle,0,0,0,1,0,0,0,48 999 €
RENAULT,Clio,1.5 Blue dCi 85ch Business,Diesel /,35 399 km,2020 /,Manuelle,1,1,1,1,0,0,1,48 999 €
MERCEDES,Classe A,250 e 160+102ch Progressive Line 8G-DCT 8cv,Hybride R /,34 267 km,2021 /,Automatique,0,1,1,1,1,1,1,48 999 €
RENAULT,Espace,1.2 E-Tech full hybrid 200ch esprit Alpine,Hybride /,9 990 km,2024 /,Automatique,0,0,1,1,1,1,1,48 999 €
MERCEDES,Classe C,300 e 204+129ch AMG Line,Hybride R /,5 000 km,2024 /,Automatique,0,1,1,1,1,1,1,48 999 €
RENAULT,Captur,1.3 TCe 130ch FAP Intens,Essence /,76 183 km,2019 /,Manuelle,1,1,1,1,1,0,1,48 999 €
NISSAN,Micra,1.0 IG-T 92ch Acenta 2021,Essence /,26 047 km,2022 /,Manuelle,1,0,1,1,0,0,0,48 999 €
